자치구별,각세별,성별,항목,단위,2018 년,2019 년,2020 년,2021 년,2022 년,2023 년,2024 년
합계,83세,합계,주민등록인구(내국인 각세별/구별),,29710,30674,32947,34774,38021,37680,43542
합계,83세,남자,주민등록인구(내국인 각세별/구별),,11275,11927,13087,14111,15547,15436,18381
합계,83세,여자,주민등록인구(내국인 각세별/구별),,18435,18747,19860,20663,22474,22244,25161
합계,84세,합계,주민등록인구(내국인 각세별/구별),,24311,27939,28717,30260,32121,35672,35431
합계,84세,남자,주민등록인구(내국인 각세별/구별),,8814,10459,10967,11767,12799,14295,14301
합계,84세,여자,주민등록인구(내국인 각세별/구별),,15497,17480,17750,18493,19322,21377,21130
합계,85세,합계,주민등록인구(내국인 각세별/구별),,20073,22645,26011,26156,27784,29804,33261
합계,85세,남자,주민등록인구(내국인 각세별/구별),,7024,8039,9564,9744,10589,11628,13038
합계,85세,여자,주민등록인구(내국인 각세별/구별),,13049,14606,16447,16412,17195,18176,20223
합계,86세,합계,주민등록인구(내국인 각세별/구별),,17581,18612,20923,23387,23610,25648,27529
합계,86세,남자,주민등록인구(내국인 각세별/구별),,5885,6373,7266,8388,8556,9572,10519
합계,86세,여자,주민등록인구(내국인 각세별/구별),,11696,12239,13657,14999,15054,16076,17010
합계,87세,합계,주민등록인구(내국인 각세별/구별),,13961,16033,17100,18649,20869,21523,23409
합계,87세,남자,주민등록인구(내국인 각세별/구별),,4296,5257,5731,6296,7309,7661,8545
합계,87세,여자,주민등록인구(내국인 각세별/구별),,9665,10776,11369,12353,13560,13862,14864
합계,88세,합계,주민등록인구(내국인 각세별/구별),,11997,12629,14573,15059,16429,18774,19475
합계,88세,남자,주민등록인구(내국인 각세별/구별),,3488,3815,4664,4890,5383,6439,6771
합계,88세,여자,주민등록인구(내국인 각세별/구별),,8509,8814,9909,10169,11046,12335,12704
합계,89세,합계,주민등록인구(내국인 각세별/구별),,10782,10732,11268,12620,12956,14634,16631
합계,89세,남자,주민등록인구(내국인 각세별/구별),,3171,3040,3325,3887,4086,4675,5571
합계,89세,여자,주민등록인구(내국인 각세별/구별),,7611,7692,7943,8733,8870,9959,11060
합계,90세,합계,주민등록인구(내국인 각세별/구별),,8836,9536,9536,9549,10670,11300,12786
합계,90세,남자,주민등록인구(내국인 각세별/구별),,2310,2735,2611,2692,3170,3473,3948
합계,90세,여자,주민등록인구(내국인 각세별/구별),,6526,6801,6925,6857,7500,7827,8838
